"Feature","Data_Type","Category","Sub_Category","ACH-000048","ACH-000091","ACH-000123","ACH-000132","ACH-000237","ACH-000278","ACH-000324","ACH-000524","ACH-000527","ACH-000542","ACH-000657","ACH-000663","ACH-000688","ACH-000696","ACH-000701","ACH-000704","ACH-000713","ACH-000719","ACH-000796","ACH-000811","ACH-000885","ACH-000906","ACH-000947"
"CARFILZOMIB (BRD:BRD-K15179879-001-03-2)_sec","num","Drug Screen","Prism Secondary",0.4829039,0.4659458,0.5612719,0.5913588,0.3925662,0.5573616,0.6047735,NA,0.5073637,0.492595,NA,0.7089522,NA,0.5609119,0.6150919,0.6278285,0.3104972,0.4011976,0.455149,0.5979734,0.3983148,NA,0.4510635
"PENFLURIDOL (BRD:BRD-K15409150-001-05-8)_sec","num","Drug Screen","Prism Secondary",0.7203567,0.7114108,0.8142179,0.818592,0.693675,0.8405534,0.7859933,0.7485011,0.8339018,0.7070288,0.6989893,0.7363144,0.8398634,0.7230222,0.8410476,0.6927864,0.7507855,0.7031069,0.5795056,0.6984483,0.5755966,0.8192471,0.5801636
"SB-228357 (BRD:BRD-K15424032-001-03-6)_sec","num","Drug Screen","Prism Secondary",NA,0.9486562,NA,NA,0.9526971,NA,0.8393953,NA,0.7755079,0.901269,NA,NA,0.7238781,NA,0.9164137,NA,NA,0.8600493,0.9458288,NA,0.9333613,0.921437,NA
"CS-110266 (BRD:BRD-K15519488-050-01-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9596525,NA,NA,0.9065186,NA,NA,NA,NA,0.9500849,NA
"PAPAVERINE (BRD:BRD-K15567136-003-27-2)_sec","num","Drug Screen","Prism Secondary",0.8207683,0.7918927,0.7217791,0.9287,0.8585578,0.9056302,0.7730407,0.9093853,0.9134214,0.831255,NA,NA,NA,0.8897443,0.9176449,NA,0.8882206,0.749977,0.8751551,0.8880722,0.8747304,0.8237549,NA
"GX15-070 (BRD:BRD-K15600710-066-05-8)_sec","num","Drug Screen","Prism Secondary",0.7026144,0.7047639,0.7078664,0.8940778,0.7673016,0.9053176,0.9032636,0.9096715,0.7620879,0.7726961,0.7029851,0.6502995,NA,0.73561,0.7837953,0.7667635,0.9105733,0.9508572,0.718984,NA,0.7827181,NA,0.6576209
"CEFDINIR (BRD:BRD-K15766189-001-09-8)_sec","num","Drug Screen","Prism Secondary",NA,NA,0.8949217,NA,NA,NA,0.8835854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9507073
"MAYTANSINOL-ISOBUTYRATE (BRD:BRD-K15898725-001-01-7)_sec","num","Drug Screen","Prism Secondary",NA,0.1108088,NA,NA,NA,NA,0.410355,NA,0.2172177,NA,NA,0.1939058,0.3274217,0.1043368,0.2989347,0.2732434,0.1287349,NA,NA,0.1824703,NA,0.1112771,NA
"CLOTRIMAZOLE (BRD:BRD-K15916496-001-27-9)_sec","num","Drug Screen","Prism Secondary",NA,NA,0.9306568,NA,0.9527866,NA,NA,NA,NA,NA,0.9516286,NA,0.9720675,NA,NA,NA,NA,NA,0.972547,NA,NA,NA,NA
"PYRITHIONE-ZINC (BRD:BRD-K16136380-001-01-7)_sec","num","Drug Screen","Prism Secondary",0.7019776,0.7148848,0.6438752,0.6857343,0.5550288,NA,0.6646608,0.5657392,0.5914501,0.5270972,0.5517053,0.6234339,0.6239829,0.6437557,0.6317804,0.6631246,0.7003919,0.7076232,0.6672599,0.6301105,0.5397767,0.6723012,0.6005659
"BIS(MALTOLATO)OXOVANADIUM(IV) (BRD:BRD-K16180792-001-01-7)_sec","num","Drug Screen","Prism Secondary",0.9466734,0.897152,NA,0.9457755,0.895662,0.9631123,0.8126778,0.9856955,0.6819255,NA,0.8333885,0.8561125,NA,NA,NA,0.87566,NA,0.8729271,NA,0.9039987,0.824254,0.8899155,0.9456589
"LADUVIGLUSIB (BRD:BRD-K16189898-003-03-3)_sec","num","Drug Screen","Prism Secondary",NA,0.9431544,0.7664766,0.9458592,NA,0.9819111,0.9061399,0.8847334,NA,NA,NA,NA,NA,NA,NA,NA,0.9246887,NA,0.9717643,NA,0.8329906,NA,NA
"OXYMETAZOLINE (BRD:BRD-K16195444-003-26-0)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9527299,0.8103102,NA,NA,NA,NA,0.8599795,NA,NA,0.9555982,0.9396264,0.9259313
"PIPERACETAZINE (BRD:BRD-K16277217-001-10-9)_sec","num","Drug Screen","Prism Secondary",0.9723374,NA,NA,NA,0.9291443,0.935987,0.9342405,NA,NA,0.9828652,NA,0.9003948,NA,NA,NA,NA,NA,0.9025411,0.9225207,NA,NA,0.9676578,NA
"CCMI (BRD:BRD-K16338837-001-02-6)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,0.9241371,NA,NA,NA,NA,NA,0.931965,0.9266834,NA,NA,0.9258357,NA,NA,0.9738544,NA,0.9380902,0.979291,0.8631506,0.791581,0.8732011
"PLX 4720 (BRD:BRD-K16478699-001-09-2)_sec","num","Drug Screen","Prism Secondary",0.825235,0.8439567,0.7496755,0.8979062,0.8129059,0.8340952,0.8720512,0.8369407,0.9462289,0.8626375,0.8513072,0.9482048,NA,0.8365697,NA,0.7721592,0.8072493,0.9016605,0.837302,0.8622282,0.8055657,0.7933425,0.8439546
"MOCETINOSTAT (BRD:BRD-K16485616-001-08-9)_sec","num","Drug Screen","Prism Secondary",0.5066601,NA,NA,NA,0.21626,0.3435634,0.1249595,NA,0.4413901,NA,NA,0.4038895,NA,0.3322659,0.1889343,NA,0.7941082,0.350959,0.2811149,NA,0.3369735,NA,NA
"FORODESINE (BRD:BRD-K16505263-003-02-9)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,0.9694542,NA,NA,NA,NA,NA,NA,NA,NA,0.8833812,NA,NA,NA,NA,NA,NA
"EVACETRAPIB (BRD:BRD-K16551357-001-03-2)_sec","num","Drug Screen","Prism Secondary",0.9331932,0.9552507,0.9335016,NA,0.9250731,0.9617595,NA,NA,NA,NA,0.6702065,NA,NA,0.939259,0.9616217,NA,0.9263359,0.9877943,0.9490064,0.9635644,0.967548,NA,NA
"GTP-14564 (BRD:BRD-K16664969-001-03-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,0.9766346,0.8127048,0.7627189,NA,0.914954,NA,0.8177532,NA,NA,0.862721,0.9118496,NA,0.9170173,0.8465952,NA,0.8972804,0.9007879,NA,NA,0.9830628,NA
"FILGOTINIB (BRD:BRD-K16803204-001-01-6)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9629445,NA,0.9952189,NA,NA,NA,NA,NA,NA,0.9673516,NA,0.9958014,NA,NA
"PIBENZIMOL (BRD:BRD-K17026858-001-01-2)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,0.9479722,0.9670304,0.9362171,NA,NA,0.8669944,NA,NA,0.9257873,NA,NA,NA,NA,0.8907806,NA,0.9499791,NA,0.952714,0.9461282,0.8989516
"STATTIC (BRD:BRD-K17061841-001-03-5)_sec","num","Drug Screen","Prism Secondary",0.8170533,NA,0.8256148,0.8650894,0.8219524,NA,0.8485754,0.8650547,0.8171449,NA,NA,0.870594,0.9105658,0.9102246,0.9050234,0.9761046,0.8623408,0.8760414,0.8787627,0.8565894,0.7528824,NA,NA
"BENDAMUSTINE (BRD:BRD-K17068645-003-04-2)_sec","num","Drug Screen","Prism Secondary",0.9488744,NA,0.9668603,0.8204668,NA,0.9375803,NA,0.9358997,0.9751124,0.9636854,0.9528356,NA,0.9685391,0.9608679,NA,NA,NA,0.9715051,0.9618177,NA,0.9498851,NA,NA
"CHLOROXINE (BRD:BRD-K17075857-001-18-4)_sec","num","Drug Screen","Prism Secondary",0.879033,0.9494768,0.8861704,0.810485,0.7609397,0.8668998,0.8658774,NA,0.8102031,0.842197,0.8653634,0.8788102,NA,0.8851488,0.8509995,0.8095791,NA,0.9086345,0.8842963,0.7768475,0.8780522,0.8372786,0.8477606
"LY2874455 (BRD:BRD-K17203476-001-01-9)_sec","num","Drug Screen","Prism Secondary",0.5427982,NA,0.5377948,0.682391,0.6480171,NA,0.7248122,0.7123349,0.7058124,NA,NA,0.6654861,0.735845,0.7448218,0.7074674,0.7406236,0.598655,0.6055277,0.6647484,0.666898,0.5921697,NA,NA
"CLEBOPRIDE (BRD:BRD-K17294426-050-12-3)_sec","num","Drug Screen","Prism Secondary",0.9610919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7030581,NA,0.9004344,NA,NA,0.9769725,NA,NA
"GSK2830371 (BRD:BRD-K17472821-001-01-2)_sec","num","Drug Screen","Prism Secondary",0.819228,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8263979,0.9540397,NA,NA,NA,NA,NA,NA,NA,NA,0.7810658,NA,0.9653182
"PENICILLAMINE-(D) (BRD:BRD-K17518951-001-03-0)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,0.9942868,NA,NA,NA,0.7869562,0.8555953,0.9735747,NA,NA,0.9664508,NA,0.9479971,NA,NA,NA,0.9501888,0.9256146,0.9869741,0.9191137,NA
"TALMAPIMOD (BRD:BRD-K17555800-003-02-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,0.9455064,NA,0.9520075,0.7818622,NA,NA,NA,NA,0.9437826,NA,NA,0.9100499,NA,NA,0.9824787,NA,0.8987001,NA,NA,0.9817701
"INDISULAM (BRD:BRD-K17610631-001-03-3)_sec","num","Drug Screen","Prism Secondary",0.6532114,0.7309448,0.8428417,0.5956585,NA,NA,NA,NA,NA,NA,0.7002603,0.8779287,NA,0.9543017,NA,NA,0.9449865,NA,0.9425038,0.6669767,0.7275723,0.6647439,0.5356169
"PD-168393 (BRD:BRD-K17702546-001-03-2)_sec","num","Drug Screen","Prism Secondary",0.7359859,0.8739932,NA,0.8967131,0.8588843,0.8688843,0.7574284,0.8078316,0.7831878,0.7376393,0.7610391,0.7669928,0.8825537,0.9047499,0.8419085,NA,0.9391422,0.6120638,0.8630319,0.8903231,0.8752429,0.8345621,0.8878888
"JTC-801 (BRD:BRD-K17705806-003-04-4)_sec","num","Drug Screen","Prism Secondary",0.8311674,NA,0.8665245,0.8658287,0.8295869,0.8517637,0.9489864,0.7946477,0.8676269,0.8838307,0.8359261,0.8585221,0.8749576,0.8689891,0.8493955,0.8399472,0.8587911,0.7192864,0.8555187,0.8598712,0.8321939,NA,0.8345742
"BELINOSTAT (BRD:BRD-K17743125-001-08-4)_sec","num","Drug Screen","Prism Secondary",0.6574264,0.7882684,0.7840768,0.8309805,0.9592947,NA,0.9225719,NA,0.9035649,0.9070259,NA,0.7427855,NA,0.7592306,NA,0.7251302,0.8947545,0.8509062,0.8816619,0.8625795,0.7688785,NA,0.7483056
"TRANILAST (BRD:BRD-K17849083-001-32-9)_sec","num","Drug Screen","Prism Secondary",0.8301012,0.8450079,0.6879209,0.805272,0.8484096,0.9092929,0.8798243,0.8415632,0.8141063,0.8200958,0.8028166,0.9226233,NA,0.7732082,0.7854984,0.9127005,0.8498606,0.8656763,0.8088445,0.7975992,0.7991791,0.793551,0.8057847
"INDIRUBIN (BRD:BRD-K17894950-001-14-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,0.9422214,0.6476547,NA,NA,NA,0.9890553,0.8974105,NA,0.8824984,NA,NA,0.8562456,0.793279,0.9059324,0.8145051,NA,NA,NA,NA,0.9962836
"EPROBEMIDE (BRD:BRD-K17979676-001-01-2)_sec","num","Drug Screen","Prism Secondary",0.8666729,NA,0.8102058,NA,0.9732242,NA,NA,0.9400834,0.8026007,NA,NA,0.7605374,NA,NA,NA,NA,NA,0.970725,0.8923895,0.8980113,0.9130988,NA,NA
"FDCYD (BRD:BRD-K18157228-001-01-7)_sec","num","Drug Screen","Prism Secondary",0.6016736,NA,0.6373915,0.7367742,0.4693934,0.7199267,0.7856177,0.6748927,0.709041,NA,NA,0.6105146,0.7432376,0.6934548,0.681436,0.5337413,0.5879744,0.693403,0.7000264,0.6503736,0.6358523,NA,NA
"HA14-1 (BRD:BRD-K18163608-001-05-6)_sec","num","Drug Screen","Prism Secondary",0.8960502,0.8902529,0.8411168,0.9428464,0.9436872,0.9508341,0.911631,0.9514365,0.9406379,0.9577463,0.952985,0.9093504,0.8864797,0.9539067,0.9243885,NA,0.8500321,0.8705363,0.9183531,0.9575143,0.9480008,0.9666831,NA
"PROPOXYCAINE (BRD:BRD-K18250272-003-11-0)_sec","num","Drug Screen","Prism Secondary",NA,0.8999281,0.872238,0.878151,0.9358484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPERMINE (BRD:BRD-K18375018-376-02-3)_sec","num","Drug Screen","Prism Secondary",0.8460263,0.9904576,0.8654843,0.9536575,0.8989692,0.9539113,0.7731771,0.8706254,0.8810489,0.8978937,0.9093643,0.9546392,NA,0.9148757,0.9078153,0.9795133,0.9355619,0.9151594,0.9620841,0.9381129,0.8701683,0.9094433,0.8919222
"TG-100572 (BRD:BRD-K18424115-003-01-3)_sec","num","Drug Screen","Prism Secondary",0.8134601,0.8823788,NA,0.7395207,0.828643,0.8671003,NA,0.8440745,0.8743985,0.8290956,0.8179237,0.8575325,0.8526498,0.827748,0.7908633,0.8486726,0.8514971,0.9065896,0.7896097,0.8280223,0.8282358,0.8179658,0.861265
"DIGITOXIGENIN (BRD:BRD-K18518344-001-15-9)_sec","num","Drug Screen","Prism Secondary",0.8331121,0.7013755,0.6103349,0.6226937,0.6832949,0.7023538,0.7217721,0.7313444,0.7287956,0.7333871,0.6996622,0.8416945,0.7052603,0.7135309,0.7653973,0.8000872,0.7873445,0.7664959,0.7686255,0.7197429,0.6949223,0.7262852,0.7528242
"NAFCILLIN (BRD:BRD-K18574842-236-17-7)_sec","num","Drug Screen","Prism Secondary",NA,0.9783979,0.8429753,NA,NA,NA,0.9509518,NA,NA,NA,NA,0.921422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEXENEONE (BRD:BRD-K18613660-001-05-5)_sec","num","Drug Screen","Prism Secondary",0.8951545,0.9482751,0.9244226,NA,NA,0.9470993,NA,NA,0.7211338,NA,NA,0.9176623,NA,NA,NA,0.9786976,NA,NA,NA,NA,NA,NA,0.9442316
"DIGOXIGENIN (BRD:BRD-K18619710-001-14-4)_sec","num","Drug Screen","Prism Secondary",0.8345675,0.9227412,0.9776561,0.9204007,0.8905571,0.9494059,0.9865617,0.9490809,0.8944096,0.8578545,0.8801573,0.884624,0.8898957,0.8901451,0.9607746,0.9856297,0.9317608,0.935658,0.9133961,0.9420549,0.9140843,0.8912935,0.8855095
"BIFEMELANE (BRD:BRD-K18779551-003-07-8)_sec","num","Drug Screen","Prism Secondary",0.9566266,NA,NA,NA,0.9398269,NA,NA,0.8499252,NA,NA,NA,NA,NA,NA,NA,0.8951168,NA,NA,NA,NA,0.8947038,0.8779799,0.902597
"U-0126 (BRD:BRD-K18787491-001-08-6)_sec","num","Drug Screen","Prism Secondary",0.9404982,NA,NA,0.972848,0.7679965,0.932996,0.8865857,0.8287486,0.8844377,0.974877,0.8959633,0.8853671,0.9617805,NA,0.9057812,0.9241914,NA,0.8603624,0.9103915,0.96281,0.8409706,0.9229878,0.9573706
"LB42708 (BRD:BRD-K18834913-001-01-1)_sec","num","Drug Screen","Prism Secondary",0.7695023,0.7476333,0.7019421,0.8105991,0.7615925,0.6912458,0.7553786,0.7195333,0.7548577,NA,0.6079244,0.6547876,0.729445,0.8164115,0.8366405,0.8143857,0.7463574,0.6265054,0.769926,0.8227931,0.6399906,0.7138289,0.592944
"DALCETRAPIB (BRD:BRD-K18849474-001-04-4)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9291106,NA
"SALVIANOLIC-ACID-B (BRD:BRD-K18898553-001-01-1)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,0.8801561,NA,NA,NA,NA,NA,0.9971673,0.9057096,NA,NA,NA,NA,0.906631,0.8410237,0.9805027
"ESTRADIOL (BRD:BRD-K18910433-001-36-6)_sec","num","Drug Screen","Prism Secondary",0.9692805,NA,NA,NA,NA,NA,NA,NA,NA,0.9703691,0.9697274,0.8602903,0.952011,NA,NA,NA,NA,0.9718723,NA,NA,NA,NA,NA
"LY2801653 (BRD:BRD-K18961567-001-01-1)_sec","num","Drug Screen","Prism Secondary",0.9135955,0.7487717,0.9193326,0.8153646,0.8486895,0.8535032,0.8352228,NA,NA,0.8429521,NA,0.8127105,NA,0.8802406,NA,0.6308858,0.8240856,0.8813735,0.8461007,0.8483317,0.9234395,0.9551598,0.9454674
"PACRITINIB (BRD:BRD-K19034817-001-01-4)_sec","num","Drug Screen","Prism Secondary",0.7875818,0.7762767,0.6813049,0.8728841,0.8325796,0.8634046,0.8319983,0.8461508,0.9258502,0.8548165,0.8313369,0.8230834,NA,0.8781003,0.8813779,0.9073468,0.9195984,0.8450327,0.8753458,0.8598008,0.8349531,0.8204112,NA
"MUBRITINIB (BRD:BRD-K19061412-001-02-4)_sec","num","Drug Screen","Prism Secondary",0.4909798,0.5412701,0.4317443,0.6900822,0.5600738,0.7861497,0.7139884,0.654385,0.4978143,NA,NA,0.7723811,NA,0.6895158,0.6621136,NA,0.6852722,0.6726537,0.6836781,0.6424701,0.6844447,NA,NA
"DARAPLADIB (BRD:BRD-K19085898-001-01-8)_sec","num","Drug Screen","Prism Secondary",0.9448554,NA,0.8919625,0.9347342,0.81138,0.9071223,0.8178266,0.8973441,NA,0.931474,NA,0.886482,0.9197313,0.9348192,0.9348242,0.9450571,0.9545902,0.9175492,0.9018243,0.9342946,0.9463964,0.7101585,0.9705873
"SALVINORIN-A (BRD:BRD-K19284129-001-02-6)_sec","num","Drug Screen","Prism Secondary",0.9579358,NA,0.9574705,0.9407673,0.7375818,NA,NA,NA,0.8989636,0.9484144,0.9167762,NA,NA,0.9395661,NA,0.8548904,NA,NA,0.9247294,NA,0.9008529,0.905164,0.9259038
"GOSSYPOL (BRD:BRD-K19295594-015-14-3)_sec","num","Drug Screen","Prism Secondary",0.8188758,0.7606311,0.7938779,0.8235537,0.8295049,0.8250214,0.7854087,0.7569956,0.8350911,0.8200299,0.8167912,0.7506579,NA,0.8296023,0.8346821,0.7252613,0.8097608,0.8325282,0.767178,0.8235032,0.8203887,0.8077451,NA
"FR-139317 (BRD:BRD-K19318328-001-01-3)_sec","num","Drug Screen","Prism Secondary",0.8405648,0.996385,0.8077857,NA,0.8671082,0.8570198,0.9674029,0.8768777,0.8602977,0.6682301,0.8859037,0.8395622,NA,0.8650185,NA,0.8283083,0.8214021,0.861704,0.9261006,0.8793299,0.8420455,0.8897006,NA
"RKI-1447 (BRD:BRD-K19333160-001-01-3)_sec","num","Drug Screen","Prism Secondary",0.9327912,0.9578772,0.9151201,0.9069989,0.8452123,0.9671838,0.8739472,0.8938281,NA,0.8312146,0.825586,0.7979126,NA,0.9095588,0.8788594,NA,0.9636643,NA,0.9465561,0.9668024,0.8673154,0.8952078,0.9570121
"COLFORSIN-DAPROATE (BRD:BRD-K19388745-003-01-7)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,0.83811,NA,0.9722535,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9471032,NA,NA,0.9442115,NA,0.9564328,0.9799902,NA
"SB-242235 (BRD:BRD-K19412355-001-01-0)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,0.8985952,NA,NA,NA,NA,0.7479232,0.8865142,0.9711892,NA,0.9563806,NA,NA,0.9743381,NA,NA,NA,NA
"AZ-10353926 (BRD:BRD-K19540840-001-09-4)_sec","num","Drug Screen","Prism Secondary",0.7731006,0.8900267,0.9871266,0.9858889,0.9161509,0.7799268,0.729205,0.8168978,0.8170515,NA,NA,0.7469934,NA,NA,0.9765712,NA,0.7600305,0.6999633,0.9944184,0.7969135,0.8325347,NA,0.9901524
"CREATINE (BRD:BRD-K19615002-001-02-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8407901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GGTI-298 (BRD:BRD-K19669037-001-01-1)_sec","num","Drug Screen","Prism Secondary",0.9418384,0.9655187,NA,NA,NA,0.9559174,NA,NA,0.8838725,0.9572769,0.9652557,0.885118,NA,NA,NA,NA,0.9095309,NA,0.9059354,0.8990871,0.9999434,NA,0.9529178
"LAPATINIB (BRD:BRD-K19687926-001-04-1)_sec","num","Drug Screen","Prism Secondary",NA,0.9834781,0.9038215,0.9313592,NA,0.981884,0.8432786,0.9467513,0.9426088,NA,0.9083799,0.8717782,NA,0.9918631,NA,NA,NA,0.7138451,0.9839576,0.9404176,NA,NA,0.9234244
"EPLERENONE (BRD:BRD-K19761926-001-03-6)_sec","num","Drug Screen","Prism Secondary",0.8607349,0.8452263,0.7617144,0.7062242,0.8772725,0.9609308,0.7751593,NA,0.9004445,0.6553077,0.8090984,0.800872,0.8411876,0.8470743,0.9673483,0.6392347,0.7991713,0.8396897,0.7663414,0.803136,0.8942152,0.8621011,0.8606662
"SONIDEGIB (BRD:BRD-K19796430-001-05-6)_sec","num","Drug Screen","Prism Secondary",0.9152968,NA,0.9630469,0.9922555,0.9646198,0.9307402,0.9132225,0.9507285,0.9148093,NA,0.9932814,0.9950189,NA,NA,NA,0.9432809,0.9524212,NA,NA,0.9303154,NA,NA,NA
"R406 (BRD:BRD-K20285085-074-04-5)_sec","num","Drug Screen","Prism Secondary",0.6523484,0.8954438,0.662336,NA,0.7404609,0.8562965,0.7475721,NA,NA,0.7400485,0.8326942,0.6057291,NA,0.8439339,0.9398229,0.980496,0.8541654,0.7159049,0.8308731,0.7622543,0.7168461,0.7410865,NA
"BIX-02188 (BRD:BRD-K20290250-001-02-1)_sec","num","Drug Screen","Prism Secondary",NA,0.9384704,0.8411396,0.8962459,0.870609,NA,0.8489598,0.9350731,0.7490099,0.9341461,0.8873659,0.8939242,NA,0.8829623,0.8725322,NA,0.9068923,0.8947966,0.8650735,0.8536557,0.7563193,0.844242,0.8111783
"LY2606368 (BRD:BRD-K20463415-300-01-4)_sec","num","Drug Screen","Prism Secondary",0.4222859,0.3130126,NA,0.5982574,0.3431108,0.4028726,0.4743021,NA,0.5358453,0.5041645,0.5186294,0.4306593,NA,0.2638409,0.8489457,0.3430902,0.2163547,0.4109835,0.63625,0.3520192,0.2581999,0.2896782,0.4717698
"BNC105 (BRD:BRD-K20468903-001-01-6)_sec","num","Drug Screen","Prism Secondary",0.4280204,0.5058823,NA,0.5700523,0.4729662,0.5133061,0.6577456,NA,0.6576981,0.521667,0.4424733,0.5704909,NA,0.5895037,0.6920855,0.7038728,0.4246071,0.8201767,0.5755366,0.5313223,0.4886143,0.4271087,0.5024541
"RUTIN (BRD:BRD-K20482099-001-09-4)_sec","num","Drug Screen","Prism Secondary",0.771792,0.9814161,0.9577534,NA,0.7083567,NA,0.8513234,NA,0.7790165,0.8741049,0.881797,0.9643371,NA,0.8456904,0.9278051,0.7042057,0.9278931,0.7392119,0.751886,0.763853,0.7499699,0.9180895,0.7057838
"BARDOXOLONE (BRD:BRD-K20545304-001-01-6)_sec","num","Drug Screen","Prism Secondary",0.3008646,NA,NA,0.7455344,NA,NA,0.4522153,0.7080616,0.6722737,NA,NA,NA,0.6061048,0.7576967,NA,NA,0.8142089,0.6671186,NA,NA,0.2921235,NA,NA
"NSC-697923 (BRD:BRD-K20605374-001-05-4)_sec","num","Drug Screen","Prism Secondary",0.8042879,NA,0.7648915,0.8228213,0.7903879,0.8263628,0.8221059,0.7312605,0.8011863,0.8205492,0.7473272,0.8395852,0.831433,0.7745359,0.8360055,0.7932129,0.7702329,0.7833561,0.811616,0.8331878,0.7434973,NA,0.729837
"MEFEXAMIDE (BRD:BRD-K20655524-003-12-0)_sec","num","Drug Screen","Prism Secondary",0.5768926,0.6421128,0.581514,0.8812864,0.733028,0.886114,0.567356,0.8100896,0.6565536,0.7195805,NA,0.7878924,0.6935828,0.6624571,0.5984907,0.6358718,0.5959348,0.5718695,0.6977487,0.6252192,0.5531248,0.6263242,NA
"CEP-32496 (BRD:BRD-K20722021-001-02-1)_sec","num","Drug Screen","Prism Secondary",0.8146318,NA,NA,NA,NA,NA,0.9915381,NA,0.8739257,NA,NA,0.9281057,NA,NA,NA,0.9725373,0.9735635,0.8883918,0.9684098,NA,0.9287058,NA,NA
"SKI-II (BRD:BRD-K20755323-001-05-9)_sec","num","Drug Screen","Prism Secondary",NA,0.963665,0.6875878,NA,NA,0.9343339,0.9072309,NA,0.9775417,0.9811889,0.8446389,0.831144,NA,NA,0.9649084,NA,0.9133659,0.8863926,0.9302825,0.9042136,0.9622579,0.9215059,0.8890032
"TH-302 (BRD:BRD-K20958582-001-01-4)_sec","num","Drug Screen","Prism Secondary",0.7492986,NA,NA,0.8555284,0.8259151,0.8044815,0.795975,0.8659519,0.9340832,0.8347535,0.850559,0.7912996,NA,0.8302927,0.8538803,0.8425355,0.7849486,0.9288794,0.876583,0.8503202,0.7602357,0.8541305,NA
"NVP-TAE226 (BRD:BRD-K21025364-001-05-6)_sec","num","Drug Screen","Prism Secondary",0.5999703,0.7145371,0.6500836,0.7663691,0.6876575,0.6571198,0.6144824,0.6612803,0.8488718,0.6568222,0.6570026,0.7016451,0.6576136,0.6993275,0.7297909,0.6997952,0.5865629,0.6361278,0.6709841,0.7140545,0.5716966,0.7004601,NA
"ENOXIMONE (BRD:BRD-K21152241-001-07-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9793649,NA,NA,NA,NA,0.936791,NA,NA
"BETA-NAPHTHOL (BRD:BRD-K21164796-001-02-8)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,0.814668,0.8175546,NA,0.822643,NA,NA,NA,NA,NA,NA,0.9619145,NA,0.8011207,0.8260988,0.9494315,NA,NA,NA,NA,0.9237147
"RILUZOLE (BRD:BRD-K21283037-001-21-5)_sec","num","Drug Screen","Prism Secondary",NA,0.9076336,0.7674304,NA,0.9496151,0.9766649,0.9349957,NA,NA,NA,NA,0.8790966,NA,NA,NA,NA,0.9370336,0.9371198,0.9693768,NA,0.898318,0.8709327,NA
"SELINEXOR (BRD:BRD-K21361524-001-01-1)_sec","num","Drug Screen","Prism Secondary",0.5455529,0.6005259,NA,0.6124435,0.5288204,0.5754253,0.6308568,NA,0.6823662,0.7527162,0.506043,0.6968599,NA,0.6180656,0.6593332,0.5640962,0.5240008,0.6255346,0.54763,0.5562241,0.502903,0.5137239,0.5484215
"MARIMASTAT (BRD:BRD-K21396683-001-04-8)_sec","num","Drug Screen","Prism Secondary",0.8731051,0.7326868,0.627857,0.8043866,0.7449963,NA,0.7730968,0.754892,0.7626164,NA,0.7899863,0.8274739,0.8042073,0.8375069,0.7871017,0.827087,0.8187067,0.827238,0.8270562,0.8197038,0.7692976,0.8371063,NA
"DESONIDE (BRD:BRD-K21528677-001-02-8)_sec","num","Drug Screen","Prism Secondary",0.9522824,NA,0.7760367,0.957295,NA,0.9133868,0.9950361,NA,0.887012,0.7876131,0.7660452,0.9304914,NA,0.9901375,NA,NA,NA,NA,0.856832,0.7988965,0.9661454,NA,NA
