Feature,Data_Type,Category,Sub_Category,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947
TPCA-1 (CTRP:375564),num,Drug Screen,CTD2,13.157,14.954,12.5715,12.179,12.937,14.761,13.475,14.781,13.592,12.662,13.819,13.54,13.102,14.19,13.032,11.797,11.386,14.255,11.513,11.362,12.579,13.702,14.024,12.66,12.079,13.71,12.487,,13.774,13.501
ELOXATIN (CTRP:375582),num,Drug Screen,CTD2,12.216,15.234,15.0485,12.654,14.884,15,14.035,15.066,14.916,14.684,13.434,14.466,14.987,14.945,14.551,14.902,14.438,15.868,,14.775,13.862,15.354,12.749,15.203,13.806,12.015,14.86,13.708,14.933,12.85
NSC632839 (CTRP:375594),num,Drug Screen,CTD2,12.899,11.668,13.5885,11.399,13.684,12.355,,14.799,12.13,14.012,13.112,13.401,13.748,13.658,12.806,14.839,11.719,13.489,12.116,12.092,11.992,13.495,12.162,12.777,13.461,13.194,14.096,10.944,12.166,12.822
PIFITHRIN-MU (CTRP:375596),num,Drug Screen,CTD2,15.802,14.812,14.4915,13.8,16.052,15.786,15.884,14.644,14.654,13.647,14.463,14.839,14.749,13.779,14.771,13.869,15.942,13.826,13.022,17.423,14.767,14.995,13.21,14.124,13.631,15.826,14.575,13.46,15.712,13.913
SN38 (CTRP:375637),num,Drug Screen,CTD2,7.4011,8.9415,12.5515,9.2296,11.686,14.457,13.053,11.369,10.472,13.914,7.048,11.634,13.524,13.658,,13.638,14.409,12.76,5.601,11.335,8.8074,11.608,10.141,,13.063,9.6218,11.754,12.523,11.155,9.3757
BRD-K80183349 (CTRP:376307),num,Drug Screen,CTD2,14.019,15.898,13.663,13.252,14.882,14.259,14.67,14.993,14.171,15.281,14.14,14.557,14.771,15.719,14.443,14.113,14.552,11.989,12.816,13.548,15.568,13.855,14.963,13.325,13.165,14.772,14.088,16.381,14.352,12.945
BRD-K66532283 (CTRP:376693),num,Drug Screen,CTD2,5.291,14.629,12.721,12.867,14.9,14.794,15.004,14.279,13.772,14.962,12.89,13.769,14.391,15.473,14.001,13.043,13.481,,11.958,14.762,14.295,14.088,13.674,13.792,12.749,12.558,13.83,14.59,14.741,13.261
MK 2206 (CTRP:377381),num,Drug Screen,CTD2,14.357,14.338,11.7745,12.351,14.283,,14.298,14.442,14.495,12.928,13.424,11.917,12.155,13.353,14.318,9.4055,13.893,13.56,7.9126,12.048,10.491,13.604,12.925,13.575,12.897,12.16,13.162,14.368,13.419,10.743
TRIAZOLOTHIADIAZINE (CTRP:385240),num,Drug Screen,CTD2,6.8055,11.879,11.273,8.2531,13.63,9.3192,9.2871,11.681,11.22,13.778,9.9547,9.0041,12.636,13.966,10.955,16.859,9.4001,10.383,6.9283,12.789,10.411,9.364,10.131,8.6322,10.674,7.5739,10.687,10.716,11.28,8.1084
BRD-K66453893 (CTRP:387472),num,Drug Screen,CTD2,11.605,14.432,12.7935,12.523,13.735,,13.139,14.716,13.695,14.515,12.827,11.994,13.313,13.919,13.505,13.557,12.658,12.729,11.135,13.956,12.411,13.564,14.536,11.99,12.924,11.896,13.574,13.452,13.772,12.439
BRD-K11533227 (CTRP:389297),num,Drug Screen,CTD2,13.904,14.673,14.7015,14.324,13.737,14.045,15.106,14.118,13.707,15.203,14.702,14.163,14.683,15.294,14.601,17.92,14.037,,,16.097,14.178,14.999,15.285,13.984,14.906,14.185,14.822,16.785,14.521,14.577
PIPERLONGUMINE (CTRP:39782),num,Drug Screen,CTD2,12.537,12.557,13.293,11.071,13.27,14.579,13.802,13.621,13.471,12.666,12.604,13.282,13.927,12.911,13.567,12.662,12.841,12.995,12.115,13.297,13.628,13.326,14.404,12.839,12.388,13.177,14.072,,14.843,12.197
BRD-K27224038 (CTRP:397964),num,Drug Screen,CTD2,,,,,,,,,14.511,14.696,,14.809,14.195,15.314,,,,,,14.459,,,,,,,,,15.566,
BRD-K33514849 (CTRP:401251),num,Drug Screen,CTD2,,,,12.768,,,,,,,,,,,,,,,,,,,,,,,,,,
BRD-K14844214 (CTRP:402775),num,Drug Screen,CTD2,14.713,15.418,14.1185,14.659,,13.622,14.011,14.787,14.953,14.777,14.85,14.974,15.624,15.806,14.53,14.009,14.118,14.279,14.552,14.756,14.344,,14.56,14.687,14.835,,14.715,15.433,15.594,13.466
BRD1835 (CTRP:404070),num,Drug Screen,CTD2,14.374,14.748,14.7985,14.283,14.885,14.639,16.929,14.52,15.031,14.319,13.076,13.975,14.216,14.787,14.691,15,14.64,14.23,13.709,14.675,14.08,14.717,14.406,14.704,13.978,14.446,15.726,14.433,14.544,15.782
BRD-K41597374 (CTRP:404452),num,Drug Screen,CTD2,14.597,14.88,13.9945,14.614,15.711,14.34,12.163,14.636,15.309,14.335,14.003,14.531,13.458,14.787,14.648,15.12,14.528,13.921,12.808,13.942,14.294,14.612,14.783,13.513,13.762,13.817,14.38,14.91,14.338,14.602
BRD-K63431240 (CTRP:404566),num,Drug Screen,CTD2,10.924,12.501,10.3495,7.5881,12.787,11.468,9.2494,10.836,10.504,11.198,9.9092,8.8254,11.524,11.674,11.044,13.498,10.405,11.171,9.0326,11.067,12.584,11.199,11.141,10.23,10.54,11.766,12.021,12.2,11.987,9.9138
BRD-K13999467 (CTRP:410270),num,Drug Screen,CTD2,14.508,14.901,13.7505,14.728,14.76,14.834,12.474,14.691,14.521,14.607,14.636,14.694,14.15,14.683,14.338,14.598,14.332,14.259,14.109,13.928,14.407,14.788,14.942,13.172,14.459,14.85,13.876,14.897,14.766,14.739
BRD-K96970199 (CTRP:410703),num,Drug Screen,CTD2,,,,,,,,,14.698,14.903,,15.472,13.9,15,,,,,,14.442,,,,,,,,,15.339,
BREFELDIN A (CTRP:411714),num,Drug Screen,CTD2,7.2638,7.6664,8.5679,4.3468,9.3389,8.6981,11.65,8.1858,7.1731,10.911,9.2566,3.5048,11.583,8.3078,9.617,10.547,8.6485,11.826,4.8762,6.8497,6.0878,8.1075,10.48,9.5744,6.3944,7.5488,10.943,9.5053,10.253,10.241
AGK-2 (CTRP:411716),num,Drug Screen,CTD2,13.957,15.046,14.8935,14.979,15.715,15.69,14.909,14.898,14.994,14.784,14.085,14.877,15.317,14.979,15.537,15.62,14.499,15.158,14.021,16.435,14.928,15.219,14.707,15.673,13.903,15.294,15.397,14.326,14.811,15
L-685458 (CTRP:411717),num,Drug Screen,CTD2,14.906,15,15.0605,12.271,15,15.301,14.921,15.031,14.667,15.333,14.92,15,14.61,14.975,14.926,13.564,15.651,14.945,14.889,15.029,13.247,15.236,14.784,14.167,15.487,14.793,15.226,17.331,14.995,15.099
PF-750 (CTRP:411719),num,Drug Screen,CTD2,12.615,13.288,13.186,,14.162,11.908,13.022,13.03,13.819,13.956,11.354,13.702,13.38,13.535,12.444,12.978,13.416,,12.065,13.575,12.668,12.651,14.804,13.017,13.203,12.676,14.515,11.495,11.44,12.924
TRIPTOLIDE (CTRP:411720),num,Drug Screen,CTD2,11.264,11.493,12.0275,9.1048,12.129,12.639,11.536,13.499,10.737,12.957,11.757,13.261,13.595,11.782,11.795,12.096,11.713,10.061,9.98,11.698,12.141,13.546,,11.417,12.627,11.629,12.909,10.622,13.825,12.152
REBEMADLIN (CTRP:411722),num,Drug Screen,CTD2,14.284,14.262,12.94,10.005,14.23,13.235,13.245,14.323,13.717,13.701,14.478,14.37,13.912,13.799,11.377,13.278,13.682,14.167,9.5942,12.243,14.459,14.309,13.135,13.599,13.199,14.485,14.691,12.953,14.237,11.058
AA-COCF3 (CTRP:411724),num,Drug Screen,CTD2,9.8838,15.049,14.168,11.305,12.914,11.94,9.8102,15.022,12.328,12.77,11.546,12.246,12.409,12.837,12.081,,14.083,13.856,11.467,12.207,11.048,13.445,10.339,12.31,12.119,13.144,15.229,14.13,12.367,
16-BETA-BROMOANDROSTERONE (CTRP:411726),num,Drug Screen,CTD2,14.32,14.544,14.2035,14.275,14.75,14.782,13.775,15.538,14.363,14.5,14.943,15.015,15.277,14.623,14.883,,15,15.132,13.643,15.352,14.606,14.832,15.724,14.603,14.698,12.31,14.779,15.329,14.989,16.141
PRL-3 INHIBITOR I (CTRP:411727),num,Drug Screen,CTD2,14.599,14.661,14.9085,13.719,14.881,14.984,14.119,14.861,14.549,15,12.927,15,14.32,15.338,15.252,13.706,15.003,15.079,13.506,14.65,13.849,14.795,15.528,16.221,15.743,14.087,15,15.706,15.332,15.842
SID 26681509 (CTRP:411731),num,Drug Screen,CTD2,13.039,12.709,13.315,11.252,,13.259,13.63,12.594,13.593,13.415,11.495,13.34,13.555,14.13,13.158,13.017,13.964,13.244,11.759,12.583,,13.616,14.504,13.898,12.991,12.158,14.356,14.352,13.614,13.085
NEURONAL DIFFERENTIATION INDUCER III (CTRP:411733),num,Drug Screen,CTD2,12.562,14.187,13.176,10.032,13.466,12.284,13.595,12.709,13.281,14.064,12.638,12.717,13.339,15.613,13.836,16.877,13.823,12.841,10.903,16.068,13.585,13.37,13.411,12.178,12.965,11.88,13.841,,14.406,12.063
NSC 74859 (CTRP:411734),num,Drug Screen,CTD2,14.535,16.186,15.75,14.008,14.979,14.856,14.808,14.718,14.428,14.937,14.053,13.984,15.351,14.582,14.862,13.187,15.659,14.613,14.773,14.414,13.18,14.339,14.732,14.693,15.684,12.532,14.793,,14.795,14.903
BORTEZOMIB (CTRP:411737),num,Drug Screen,CTD2,11.647,10.827,11.694,12.022,12.381,10.84,10.281,10.811,12.441,11.635,11.278,11.088,13.068,12.196,12.678,13.858,10.555,11.627,11.812,11.557,10.621,12.704,13.468,13.944,13.913,10.802,13.274,7.9361,11.855,11.25
ABT-737 (CTRP:411738),num,Drug Screen,CTD2,,14.775,12.6405,14.479,14.739,9.5549,12.741,13.663,11.942,14.651,13.603,15.722,13.348,11.548,14.742,12.148,14.706,,12.002,14.453,14.333,14.129,13.963,13.098,13.781,14.163,14.059,13.828,14.455,15.103
ZEBULARINE (CTRP:411739),num,Drug Screen,CTD2,13.867,14.92,15.349,13.567,14.348,16.027,14.201,15,12.184,14.649,13.495,11.427,15.229,14.046,13.828,16.915,14.593,14.631,12.564,14.611,13.829,14.154,15.344,14.213,16.149,12.041,16.718,14.855,14.763,16.048
PI 103 (CTRP:411742),num,Drug Screen,CTD2,11.835,12.295,10.83285,10.04,11.501,13.801,9.4731,14.485,13.836,13.132,12.279,11.247,13.236,13.234,12.892,9.5931,11.508,14.448,8.4049,12.045,9.0322,14.066,12.625,13.871,12.227,10.749,12.751,,14.168,10.274
TUBASTATIN A (CTRP:411749),num,Drug Screen,CTD2,,,13.862,,,,,,14.122,14.527,14.583,14.978,14.45,13.509,14.087,13.965,,14.924,14.146,14.653,,14.546,,13.291,13.239,16.231,13.939,,14.811,13.707
SR-II-138A (CTRP:411770),num,Drug Screen,CTD2,8.2433,8.9119,7.56145,6.8795,8.3561,9.7497,9.0793,12.301,8.1495,8.6132,8.4462,6.5557,10.122,10.713,8.1409,9.2385,7.4881,7.8264,5.9087,8.164,8.9829,9.7604,10.691,9.6755,9.4022,5.4361,9.8404,,8.3421,6.9919
NEOPELTOLIDE (CTRP:411774),num,Drug Screen,CTD2,,,,,,,,,,11.869,,10.386,13.075,11.638,,,,,,12.272,,,,,,,,,3.8591,
PARTHENOLIDE (CTRP:411792),num,Drug Screen,CTD2,12.805,13.225,14.164,10.709,12.921,13.57,12.578,13.687,15.423,15.07,13.195,15.103,15,14.178,14.885,18.924,13.074,15.142,13.213,15,12.412,14.285,13.932,15,15,13.409,16.907,10.454,14.815,15
COMPOUND 7D-CIS (CTRP:411805),num,Drug Screen,CTD2,,14.881,13.417,11.977,13.554,14.151,13.457,,14.831,13.212,14.236,13.483,13.357,14.784,14.497,13.249,,13.692,12.097,14.465,14.119,14.55,14.8,13.378,12.5,14.541,14.548,,14.924,13.242
FEDRATINIB (CTRP:411808),num,Drug Screen,CTD2,12.42,14.357,11.9565,10.286,12.962,13.184,11.696,13.832,12.574,11.711,12.414,12.877,11.451,13.16,12.337,9.1901,11.924,12.336,10.957,11.859,12.78,12.971,11.945,10.995,11.047,13.237,11.052,13.391,13.173,11.95
PEVONEDISTAT (CTRP:411809),num,Drug Screen,CTD2,12.333,11.637,15.9385,8.1532,13.409,15,13.359,11.05,9.565,14.023,8.6753,11.332,14.329,14.312,11.531,,12.826,12.942,10.548,12.84,12.303,9.6916,13.015,8.9482,14.274,11.354,13.463,,11.934,12.228
AZD7545 (CTRP:411814),num,Drug Screen,CTD2,13.788,14.737,14.402,13.551,14.851,13.78,15.649,13.498,14.834,14.621,11.017,13.882,14.065,13.188,12.875,12.66,14.862,14.042,12.392,14.108,13.299,11.763,15.502,13.763,13.734,11.659,14.616,12.32,12.54,12.821
VER-155008 (CTRP:411815),num,Drug Screen,CTD2,14.747,15.503,14.741,14.409,14.319,14.113,14.295,14.404,14.51,13.27,13.211,14.038,12.312,13.702,14.044,13.69,13.845,14.665,13.104,13.432,13.81,14.322,15.851,14.15,13.896,13.863,14.687,14.538,14.028,13.79
ML203 (CTRP:411816),num,Drug Screen,CTD2,14.519,14.405,14.636,13.863,15.247,14.522,14.186,14.817,15.3,15.402,14.73,14.794,15.923,16.367,14.82,16.171,13.034,15.784,16.679,16.998,13.894,14.541,14.752,14.545,14.325,15.27,14.737,14.432,15.777,14.498
SRT-1720 (CTRP:411820),num,Drug Screen,CTD2,14.857,13.741,14.434,11.984,14.765,16.567,14.384,14.644,14.248,13.312,14.587,14.761,13.533,14.963,14.07,12.849,13.894,14.214,14.911,14.282,16.102,14.787,14.446,13.925,13.309,15,13.978,,14.961,14.841
CAY10594 (CTRP:411824),num,Drug Screen,CTD2,13.971,14.885,13.8565,,14.288,14.568,14.168,14.663,14.391,14.705,13.139,14.569,13.29,14.244,15.324,15.2,14.083,13.937,13.366,13.213,14.425,14.313,13.978,14.309,13.776,13.631,14.315,,13.913,14.405
COMPOUND 1541A (CTRP:411827),num,Drug Screen,CTD2,14.486,15.088,14.3385,13.718,15.457,14.988,15,14.924,14.863,14.572,14.619,14.71,14.805,14.869,14.201,18.73,15.037,15,15,14.884,15.053,14.898,14.775,15.539,13.671,15.702,14.455,,14.835,14.692
RG-108 (CTRP:411831),num,Drug Screen,CTD2,14.39,15.097,14.6105,13.267,14.809,14.823,14.508,14.823,14.872,14.774,15.568,15,14.408,14.971,14.616,13.999,14.58,16.108,15.271,13.634,14.906,12.679,14.769,14.833,15.282,15.313,15.474,13.866,14.389,13.548
GTPL5238 (CTRP:411832),num,Drug Screen,CTD2,11.766,13.383,11.674,10.63,13.414,12.915,12.193,11.979,14.57,13.681,13.121,13.892,11.832,14.423,13.405,14.47,11.908,13.505,12.354,14.543,13.029,13.17,12.752,12.81,13.964,13.132,14.039,14.12,13.98,12.683
PLURIPOTIN (CTRP:411833),num,Drug Screen,CTD2,10.296,,10.44275,9.244,10.09,8.7175,8.8207,9.7292,9.0657,12.406,9.9845,8.9167,11.621,10.454,8.5438,9.6707,11.025,12.239,8.3916,9.4587,9.6917,10.322,11.552,10.103,8.807,10.573,9.0823,13.41,11.192,10.918
GMX-1778 (CTRP:411843),num,Drug Screen,CTD2,11.769,13.223,12.119,8.5838,12.068,14.848,11.798,12.601,13.92,14.351,14.094,14.862,14.409,12.13,12.401,12.93,12.635,13.348,11.005,14.29,11.265,9.7778,11.355,14.704,14.633,14.027,14.48,10.995,13.802,11.441
AVRAINVILLAMIDE (CTRP:411856),num,Drug Screen,CTD2,13.814,14.794,14.4895,12.598,14.346,14.596,14.421,14.735,,,14.586,,,,14.494,14.962,14.291,14.688,12.491,,13.308,14.61,14.692,14.381,14.363,14.832,14.584,14.748,,14.012
BMS 536924 (CTRP:411859),num,Drug Screen,CTD2,14.531,14.407,12.8085,13.069,13.599,13.283,13.127,14.157,14.399,14.212,14.032,13.149,13.009,,13.395,10.108,13.391,13.404,12.222,12.748,12.646,14.375,13.171,13.58,12.254,13.623,13.15,16.083,,14.255
GEMCITABINE (CTRP:411863),num,Drug Screen,CTD2,5.3988,6.6631,12.504,6.4691,11.389,17.843,12.517,10.801,6.6714,13.269,,11.235,13.835,13.854,,13.692,14.411,13.901,9.9529,7.6428,8.5848,7.595,7.1253,,,8.4662,,10.522,10.158,
MST 312 (CTRP:411865),num,Drug Screen,CTD2,11.23,12.307,12.589,11.443,12.603,13.145,13.343,12.557,12.094,12.172,11.194,11.911,12.938,,11.443,12.777,12.569,12.207,11.089,11.612,12.521,11.735,12.947,13.222,13.04,11.106,13.08,,,10.711
OLAPARIB (CTRP:411867),num,Drug Screen,CTD2,13.925,14.527,14.056,11.255,14.065,14.22,10.462,13.895,14.904,14.048,13.232,14.736,13.266,14.535,14.222,13.12,14.42,15.834,11.513,14.162,11.495,14.333,14.632,13.199,14.396,13.795,14.815,,14.402,13.91
OLIGOMYCIN A (CTRP:411869),num,Drug Screen,CTD2,8.0751,6.0475,11.20335,3.4377,12.896,3.4698,14.198,6.7105,13.699,14.564,1.254,10.349,11.697,11.714,1.9159,10.963,11.122,11.272,1.8198,12.701,11.572,12.163,14.088,10.543,11.599,1.1588,14.433,1.4773,2.5555,8.0213
INDISULAM (CTRP:411874),num,Drug Screen,CTD2,,14.846,14.2705,13.455,13.692,13.714,13.666,14.58,14.8,16.361,13.703,14.626,15,14.491,14.12,13.878,13.607,,10.69,14.524,14.532,14.446,15.27,12.902,14.609,13.774,14.023,12.218,14.754,11.975
BRD-K49290616 (CTRP:414479),num,Drug Screen,CTD2,,,,,,,,,14.412,14.407,,14.713,13.609,14.455,,,,,,14.283,,,,,,,,,14.799,
BRD-K02492147 (CTRP:415688),num,Drug Screen,CTD2,15,15,14.1785,,14.1,,15,15,14.623,14.826,15.382,16.088,14.255,14.976,14.792,14.39,15,13.875,15.351,14.925,13.296,14.241,15,14.403,14.552,14.779,14.528,15,15.573,14.874
AUSTOCYSTIN D (CTRP:416775),num,Drug Screen,CTD2,11.221,11.77,11.3635,13.526,12.419,12.466,10.722,12.1,9.0885,6.8407,10.018,6.5062,11.205,8.8911,12.206,,11.217,6.8915,11.109,12.034,13.329,,10.611,6.2066,11.408,14.608,12.835,,11.542,14.733
SJ-172550 (CTRP:416777),num,Drug Screen,CTD2,15.616,14.928,14.4385,16.91,14.847,15.913,16.345,15,14.376,14.197,15.109,15.091,14.265,14.843,14.863,14.511,14.801,15,14.705,14.19,15.439,14.66,15.204,15,14.484,16.262,14.427,14.974,15.08,14.626
BRD-K09587429 (CTRP:416842),num,Drug Screen,CTD2,16.772,15.275,14.7425,,15.696,15.452,12.413,14.988,14.721,14.805,14.946,14.884,14.461,14.881,14.964,15.194,14.611,15.019,15.156,14.751,14.811,14.867,15.568,14.68,14.635,15.25,14.641,,14.9,15
PANDACOSTAT (CTRP:417098),num,Drug Screen,CTD2,14.354,12.94,14.1925,14.688,15.124,15.262,14.645,14.15,14.137,14.447,14.908,13.462,14.876,14.294,14.698,16.893,15.657,14.839,14.15,13.2,13.63,14.724,14.438,14.347,14.063,14.199,14.828,14.124,14.213,14.515
BRD-K96431673 (CTRP:417262),num,Drug Screen,CTD2,,,,,,,,,14.722,14.845,,15.626,13.94,15,,,,,,14.629,,,,,,,,,16.102,
CYANOQUINOLINE 11 (CTRP:417415),num,Drug Screen,CTD2,,,13.476,,,,,,13.679,13.373,13.174,13.54,12.326,14.168,14.037,13.069,,13.562,12.028,13.47,,12.822,,13.36,11.849,13.98,13.23,,13.759,13.539
TIPIFARNIB-P2 (CTRP:417416),num,Drug Screen,CTD2,,,12.97,,,,,,12.775,12.813,13.099,12.662,12.981,14.571,13.106,14.106,,12.993,7.3956,13.055,,14.454,,11.678,12.896,13.843,13.312,,13.73,10.773
TIPIFARNIB-P1 (CTRP:417417),num,Drug Screen,CTD2,13.142,14.564,15.5375,10.395,14.641,14.113,14.446,14.161,14.698,14.397,14.385,14.004,13.963,15.27,14.586,15.774,15.989,14.599,11.729,13.955,11.321,14.829,14.292,14.669,14.615,13.24,15.489,14.631,14.771,14.018
COMPOUND 23 CITRATE (CTRP:417451),num,Drug Screen,CTD2,,14.416,12.618,12.345,14.545,14.352,14.228,14.422,14.267,13.637,12.088,13.326,13.952,14.585,14.063,12.514,12.947,13.307,12.221,13.561,14.439,14.473,14.2,13.793,13.137,13.642,14.42,14.291,14.139,12.871
NAKITERPIOSIN (CTRP:417452),num,Drug Screen,CTD2,9.1791,12.603,13.524,10.752,13.759,11.878,11.242,11.992,12.621,14.021,11.078,10.516,11.412,12.835,11.733,15.915,12.547,11.517,8.1147,12.876,11.287,11.475,12.407,11.445,10.723,10.83,11.639,11.442,11.85,
CCT036477 (CTRP:417663),num,Drug Screen,CTD2,14.559,14.86,14.303,13.523,14.271,14.394,13.929,14.778,15.382,14.635,14.511,14.506,14.764,15.995,14.646,14.771,14.697,14.882,13.208,14.133,14.402,14.473,14.845,14.514,13.824,14.563,14.776,14.872,15.357,13.737
TAMATINIB (CTRP:417818),num,Drug Screen,CTD2,12.329,15.528,13.812,13.673,13.897,13.51,13.337,15.099,14.114,14.623,14.821,14.637,14.152,13.853,14.031,11.65,14.158,14.864,10.59,13.183,13.501,15,14.441,13.438,12.584,13.916,13.374,17.021,14.423,14.687
MYRIOCIN (CTRP:417977),num,Drug Screen,CTD2,,,,,,,,,12.534,14.73,,14.916,14.907,14.131,,,,,,14.352,,,,,,,,,14.721,
SEPANTRONIUM BROMIDE (CTRP:417979),num,Drug Screen,CTD2,7.7608,12.346,10.783,8.1695,7.2248,10.338,8.0411,9.7895,8.8509,8.0163,,8.6818,7.1995,9.2091,10.741,,10.424,,8.6573,14.594,8.509,10.58,11.98,12.269,11.702,,11.699,5.5716,10.858,10.234
BMS-754807 (CTRP:417981),num,Drug Screen,CTD2,12.577,14.322,10.7179,11.872,13.562,13.2,11.571,13.782,14.063,14.092,13.407,12.737,12.145,14.447,13.104,13.018,13.338,12.132,11.252,12.331,10.542,13.759,13.136,12.213,11.534,13.175,12.748,13.065,15.666,13.654
BIBR-1532 (CTRP:417982),num,Drug Screen,CTD2,14.185,14.44,14.3065,13.628,14.603,14.849,14.015,13.971,13.465,14.671,13.474,13.767,13.661,15,14.756,13.87,14.916,14.98,12.008,13.871,11.958,14.708,14.437,14.844,13.616,15.808,14.488,,14.685,14.748
TOSEDOSTAT (CTRP:417987),num,Drug Screen,CTD2,12.295,13.386,13.2635,,11.711,12.837,12.151,12.844,10.93,12.174,11.86,11.77,12.825,12.26,12.443,13.178,11.517,12.326,11.125,12.593,11.072,12.169,13.273,10.024,12.503,10.91,12.944,12.676,12.079,12.688
NERATINIB (CTRP:418038),num,Drug Screen,CTD2,13.726,14.011,11.87,9.285,12.402,14.814,11.83,14.043,10.463,13.991,12.081,11.751,9.8509,12.691,12.284,9.6564,11.106,13.299,11.754,10.701,11.766,13.25,14.224,11.658,9.7438,13.98,11.422,13.169,13.287,13.585
BRD1812 (CTRP:418162),num,Drug Screen,CTD2,12.677,14.697,13.091,12.649,12.859,12.679,13.8,12.513,13.71,13.277,13.167,13.209,11.804,13.205,13.157,10.59,13.497,13.716,11.43,14.125,12.415,13.825,12.938,13.134,13.306,12.918,13.245,,13.492,12.267
BRD8958 (CTRP:418163),num,Drug Screen,CTD2,14.89,15.435,15.845,14.728,15.661,16.557,15.542,14.686,15,15.459,15.248,14.782,14.337,15.208,15.505,14.88,14.583,15,14.762,15.378,16.487,14.777,15.053,14.997,17.715,15.198,15,16.849,15.7,15.852
JNJ-26854165 (CTRP:418164),num,Drug Screen,CTD2,13.865,14.738,13.679,10.351,14.273,14.406,14.313,13.477,13.887,14.409,14.276,15.227,14.514,14.824,14.146,16.064,13.72,13.732,,14.585,14.529,13.359,13.883,11.053,13.963,14.082,13.629,14.921,14.724,12.699
APO866 (CTRP:418166),num,Drug Screen,CTD2,11.069,13.518,13.14,6.9625,10.92,17.64,9.5532,12.143,11.377,10.813,11.07,10.438,10.05,7.9454,8.5281,,11.358,9.7664,,11.884,7.2364,6.4008,8.904,15.641,,10.54,15.723,8.4261,7.0317,7.5031
ADAVOSERTIB (CTRP:418167),num,Drug Screen,CTD2,10.358,11.449,10.214,8.4752,12.573,12.444,7.4444,13.202,,12.346,11.071,8.0472,12.163,12.919,12.839,11.787,11.476,11.473,9.7089,10.395,10.525,11.493,11.354,9.0782,10.73,10.737,11.776,11.418,12.632,11.989
ASP-4130 (CTRP:418170),num,Drug Screen,CTD2,12.616,14.602,13.4035,13.735,13.418,13.074,13.207,14.866,14.391,15.056,14.002,12.916,14.278,13.727,13.511,13.886,13.578,13.94,12.759,13.574,9.0788,12.652,13.1,14.048,14.06,12.403,13.828,13.5,13.634,14.406
KO-143 (CTRP:418172),num,Drug Screen,CTD2,14.238,14.824,13.565,12.194,13.802,14.502,13.526,14.487,14.94,13.982,13.455,14.423,12.519,14.434,14.364,13.929,13.824,13.381,12.358,13.18,14.871,14.257,13.885,14.37,14.456,13.799,14.896,13.449,13.863,13.64
CR-1-31B (CTRP:418209),num,Drug Screen,CTD2,6.6402,8.515,5.2728,4.5723,8.6154,6.129,7.7396,10.28,6.7421,7.7635,7.2261,4.9024,10.452,8.3698,7.7128,7.6989,5.1258,5.0568,4.5392,8.4881,7.1594,8.3476,8.2624,9.406,9.3458,4.2639,8.668,,7.227,5.7489
BRD-K26531177 (CTRP:42319),num,Drug Screen,CTD2,11.162,13.941,12.0485,10.838,11.503,12.291,12.299,11.692,11.807,11.748,11.455,11.131,13.166,10.539,11.728,11.372,13.212,11.339,11.289,11.455,11.384,12.61,12.419,11.472,10.979,12.354,12.328,11.699,11.242,11.303
BRD-K71781559 (CTRP:425733),num,Drug Screen,CTD2,13.51,14.701,14.474,14.561,13.966,14.399,14.916,14.588,14.131,14.376,14.929,13.796,15.003,14.757,14.846,13.851,11.724,14.673,14.905,14.045,13.981,15.046,14.106,12.109,14.321,14.463,14.788,15,14.669,15
BRD-K86535717 (CTRP:429535),num,Drug Screen,CTD2,,,,,,,,,14.713,15.467,,15.527,14.257,15.445,,,,,,15,,,,,,,,,15,
BRD-K48334597 (CTRP:431987),num,Drug Screen,CTD2,,,,,,,,,14.953,14.849,,14.669,14.806,15.908,,,,,,14.399,,,,,,,,,15.711,
ML312 (CTRP:434195),num,Drug Screen,CTD2,,,,,,,,,15,14.386,,14.834,16.056,15,,,,,,16.035,,,,,,,,,15.595,
BRD-K04800985 (CTRP:435086),num,Drug Screen,CTD2,14.762,15.205,14.701,14.808,14.463,,16.054,15,15.1,14.899,15.621,14.964,15.968,14.77,15,14.722,16.476,14.213,15.452,14.814,14.212,13.451,15.215,14.922,14.713,13.817,14.661,15.628,15.069,14.912
BRD-K78574327 (CTRP:435898),num,Drug Screen,CTD2,,,,,,,,,14.759,14.895,,15,14.056,15.148,,,,,,15.172,,,,,,,,,15.412,
BRD-K19103580 (CTRP:436211),num,Drug Screen,CTD2,14.921,14.552,14.1105,14.723,14.684,15.318,11.425,14.54,14.882,14.84,14.469,16.322,13.427,14.999,14.848,13.924,14.424,14.279,13.679,14.78,14.916,14.873,14.837,14.271,14.415,14.56,14.79,,14.962,14.618
BRD-K30019337 (CTRP:437263),num,Drug Screen,CTD2,,,,,,,,,14.639,14.999,,15.457,14.192,15.291,,,,,,15.075,,,,,,,,,15.997,
BRD-K84807411 (CTRP:437906),num,Drug Screen,CTD2,,,,,,,,,14.792,15.137,,14.816,13.756,15.244,,,,,,14.534,,,,,,,,,15.741,
